bvals,E=0.010000,E=0.021544,E=0.046416,E=0.100000,E=0.215443,E=0.464159,E=1.000000,E=2.154435,E=4.641589,E=10.000000
0.0001,2.99751957035244,2.99470359770182,2.98880129504978,2.9767809128746,2.95357300143198,2.91251278004021,2.84803152411135,2.75920578675275,2.65034240720173,2.52825272478486
0.000114975699539774,2.99751957035333,2.99470359770369,2.98880129505368,2.97678091288245,2.95357300144688,2.91251278006599,2.84803152415116,2.75920578680778,2.65034240727139,2.52825272486782
0.000132194114846603,2.99751957035449,2.99470359770616,2.98880129505883,2.97678091289283,2.95357300146657,2.91251278010007,2.84803152420379,2.75920578688053,2.65034240736347,2.52825272497749
0.000151991108295293,2.99751957035603,2.99470359770943,2.98880129506564,2.97678091290655,2.95357300149261,2.91251278014512,2.84803152427337,2.7592057869767,2.65034240748521,2.52825272512246
0.000174752840000768,2.99751957035807,2.99470359771375,2.98880129507464,2.97678091292469,2.95357300152703,2.91251278020468,2.84803152436534,2.75920578710383,2.65034240764613,2.52825272531411
0.000200923300256505,2.99751957036076,2.99470359771946,2.98880129508655,2.97678091294867,2.95357300157252,2.91251278028341,2.84803152448693,2.7592057872719,2.65034240785886,2.52825272556745
0.000231012970008316,2.99751957036432,2.99470359772701,2.98880129510228,2.97678091298037,2.95357300163267,2.91251278038748,2.84803152464766,2.75920578749406,2.65034240814008,2.52825272590235
0.000265608778294669,2.99751957036903,2.99470359773699,2.98880129512308,2.97678091302228,2.95357300171218,2.91251278052506,2.84803152486013,2.75920578778776,2.65034240851183,2.52825272634508
0.000305385550883342,2.99751957037525,2.99470359775018,2.98880129515057,2.97678091307768,2.95357300181728,2.91251278070693,2.84803152514101,2.759205788176,2.65034240900326,2.52825272693033
0.000351119173421513,2.99751957038347,2.99470359776762,2.98880129518691,2.97678091315091,2.95357300195622,2.91251278094736,2.84803152551231,2.75920578868924,2.65034240965291,2.52825272770401
0.000403701725859655,2.99751957039434,2.99470359779067,2.98880129523496,2.97678091324772,2.9535730021399,2.91251278126519,2.84803152600315,2.75920578936771,2.65034241051171,2.52825272872676
0.000464158883361278,2.99751957040871,2.99470359782114,2.98880129529847,2.9767809133757,2.9535730023827,2.91251278168534,2.84803152665201,2.7592057902646,2.65034241164698,2.52825273007877
0.000533669923120631,2.99751957042771,2.99470359786143,2.98880129538243,2.97678091354488,2.95357300270368,2.91251278224076,2.84803152750977,2.75920579145024,2.65034241314775,2.52825273186606
0.000613590727341318,2.99751957045283,2.99470359791468,2.98880129549342,2.97678091376852,2.95357300312799,2.91251278297498,2.84803152864367,2.75920579301759,2.65034241513168,2.52825273422874
0.000705480231071865,2.99751957048603,2.99470359798508,2.98880129564015,2.97678091406416,2.9535730036889,2.91251278394558,2.84803153014263,2.75920579508954,2.65034241775432,2.52825273735207
0.000811130830789687,2.99751957052992,2.99470359807814,2.98880129583411,2.97678091445499,2.95357300443039,2.91251278522867,2.84803153212416,2.75920579782853,2.65034242122129,2.52825274148093
0.00093260334688322,2.99751957058793,2.99470359820117,2.98880129609051,2.97678091497163,2.9535730054106,2.91251278692482,2.84803153474363,2.75920580144931,2.65034242580442,2.52825274693905
0.00107226722201032,2.99751957066463,2.9947035983638,2.98880129642946,2.97678091565461,2.95357300670638,2.91251278916704,2.84803153820641,2.75920580623577,2.65034243186306,2.52825275415435
0.00123284673944207,2.99751957076602,2.99470359857879,2.98880129687754,2.97678091655746,2.95357300841932,2.91251279213112,2.848031542784,2.75920581256319,2.65034243987221,2.52825276369255
0.0014174741629268,2.99751957090004,2.99470359886299,2.98880129746986,2.97678091775099,2.95357301068373,2.91251279604947,2.84803154883531,2.75920582092766,2.65034245045985,2.52825277630149
0.00162975083462064,2.99751957107722,2.99470359923869,2.98880129825288,2.97678091932875,2.95357301367715,2.91251280122929,2.84803155683478,2.75920583198501,2.65034246445607,2.52825279296978
0.00187381742286038,2.99751957131144,2.99470359973534,2.98880129928799,2.97678092141446,2.95357301763427,2.9125128080767,2.84803156740962,2.75920584660217,2.65034248295827,2.52825281500427
0.00215443469003188,2.99751957162106,2.99470360039189,2.98880130065634,2.97678092417164,2.95357302286535,2.91251281712859,2.84803158138892,2.7592058659252,2.65034250741708,2.52825284413258
0.00247707635599171,2.99751957203036,2.9947036012598,2.98880130246522,2.97678092781648,2.95357302978053,2.91251282909464,2.84803159986875,2.7592058914691,2.65034253975019,2.52825288263849
0.0028480358684358,2.99751957257144,2.99470360240713,2.98880130485645,2.97678093263474,2.953573038922,2.91251284491307,2.84803162429799,2.75920592523665,2.65034258249267,2.52825293354104
0.00327454916287773,2.99751957328671,2.99470360392383,2.98880130801752,2.9767809390042,2.95357305100648,2.91251286582409,2.84803165659202,2.75920596987536,2.65034263899572,2.52825300083125
0.00376493580679247,2.99751957423225,2.99470360592883,2.98880131219627,2.97678094742425,2.95357306698145,2.91251289346724,2.84803169928282,2.75920602888513,2.65034271368945,2.52825308978496
0.00432876128108306,2.9975195754822,2.99470360857931,2.98880131772033,2.97678095855505,2.95357308809942,2.91251293000986,2.84803175571757,2.7592061068926,2.6503428124302,2.52825320737658
0.00497702356433211,2.99751957713456,2.99470361208309,2.9888013250228,2.97678097326933,2.95357311601614,2.91251297831706,2.84803183032101,2.75920621001391,2.65034294295972,2.52825336282588
0.00572236765935022,2.99751957931888,2.99470361671488,2.98880133467625,2.97678099272073,2.95357315292041,2.91251304217636,2.8480319289424,2.75920634633429,2.65034311551218,2.52825356832085
