bvals,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.0001,3.14151887033971,3.14151270501458,3.14150577650592,3.14149793878511,3.14148901175245,3.14147877461386,3.14146695822709,3.14145323628883,3.14143721478782,3.14141841801735,3.14139626743474,3.14137004707865,3.14133884704324,3.1413014755321,3.1412563297361,3.14120121416921,3.14113309029946,3.14104773446356,3.14093927361611,3.14079955846828
0.000114975699539774,3.14150782078187,3.14150073215618,3.14149276605488,3.14148375458055,3.1414734906623,3.14146172044059,3.14144813446725,3.14143235757275,3.14141393673991,3.14139232502158,3.1413668572343,3.14133671019651,3.14130083773762,3.14125786958102,3.14120596288576,3.14114259337796,3.14106426748408,3.14096612901762,3.14084142539982,3.14068078693572
0.000132194114846603,3.14149511647545,3.14148696627847,3.14147780719777,3.14146744619213,3.14145564518033,3.14144211228558,3.1414264917177,3.1414083521229,3.14138717264149,3.1413623244172,3.14133304265066,3.14129838088314,3.14125713627271,3.14120773333452,3.14114805324983,3.14107519371531,3.14098513797073,3.14087230258406,3.14072892373009,3.14054422854081
0.000151991108295293,3.14148050961027,3.14147113886428,3.14146060814718,3.14144869550846,3.1414351272126,3.14141956767221,3.14140160781502,3.14138075168902,3.14135640043214,3.14132783101248,3.14129416409664,3.14125431148707,3.14120689020788,3.14115008883419,3.14108147123911,3.14099770048016,3.14089415825936,3.14076442498622,3.14059957415157,3.14038721958188
0.000174752840000768,3.14146371526485,3.1414529411841,3.14144083341845,3.14142713677875,3.14141153653568,3.14139364684528,3.14137299737386,3.14134901789712,3.14132101986922,3.14128817197918,3.14124946320728,3.14120364239081,3.1411491194436,3.14108381166814,3.14100491810863,3.14090860209454,3.14078955370527,3.14064039196938,3.14045085358111,3.1402066974406
0.000200923300256505,3.14144440584872,3.14143201827401,3.14141809728576,3.14140234947847,3.14138441298987,3.14136384419321,3.14134010231902,3.14131253174794,3.14128034081957,3.1412425737283,3.14119806804719,3.14114538524317,3.14108269710363,3.14100760903106,3.14091690061053,3.14080616060218,3.1406692838887,3.14049778414644,3.14027986107284,3.13999914087013
0.000231012970008316,3.14142220471246,3.14140796201178,3.14139195625817,3.14137385010658,3.14135322750336,3.14132957838554,3.14130228099965,3.14127058154274,3.14123356979776,3.14119014682053,3.14113897610258,3.14107840368051,3.14100632755417,3.14091999451983,3.14081570188081,3.14068837778372,3.14053100282739,3.14033381981116,3.14008326124756,3.13976050127857
0.000265608778294669,3.14139667880073,3.14138030315601,3.14136190042884,3.14134108275441,3.14131737177212,3.1412901810335,3.14125879567319,3.14122234900095,3.14117979448839,3.1411298686168,3.14107103472624,3.14100139116083,3.14091852113132,3.14081925911979,3.14069934793543,3.14055295616553,3.14037201321947,3.1401453006851,3.13985721925585,3.13948612377811
0.000305385550883342,3.14136733020518,3.14134850219311,3.14132734352883,3.14130340826206,3.14127614639434,3.14124488365247,3.14120879811499,3.14116689329877,3.1411179659505,3.14106056333074,3.14099291865405,3.14091284547843,3.14081756508375,3.14070343789552,3.14056556917239,3.14039725422363,3.14018921381626,3.13992854951539,3.13959732592389,3.13917065640147
0.000351119173421513,3.14133358645214,3.14131193881358,3.14128761149134,3.14126009175097,3.14122874722791,3.14119280267185,3.14115131307284,3.14110313271748,3.14104687815687,3.14098087909378,3.14090310415442,3.14081103946196,3.14070149016386,3.14057027163272,3.14041175611219,3.14021823483082,3.13997903893689,3.13967933837354,3.13929851179947,3.1388079456678
0.000403701725859655,3.14129478933606,3.14126989981222,3.14124192930333,3.14121028828939,3.14117424970484,3.1411329222002,3.14108521924372,3.14102982354344,3.14096514446938,3.14088926158572,3.1407998393064,3.14069398728429,3.14056803221581,3.1404171628002,3.14023490847716,3.14001240604755,3.13973738892678,3.1393928061651,3.13895494825772,3.13839091662248
0.000464158883361278,3.14125018208048,3.14122156517637,3.14118940588818,3.14115302641115,3.1411115907966,3.14106407420926,3.14100922740167,3.14094553580827,3.14087117059121,3.14078392371613,3.1406811098269,3.14055940572713,3.14041458801115,3.14024112485297,3.14003157668714,3.13977575298454,3.13945955017665,3.13906336381178,3.13855993379665,3.13791143478934
0.000533669923120631,3.14119889457638,3.14116599209076,3.14112901672429,3.14108718916623,3.14103954827876,3.14098491575039,3.1409218552502,3.14084862539591,3.14076312346859,3.14066281076552,3.14054459978014,3.14040466964483,3.14023816447058,3.14003872400427,3.13979779455815,3.13950365950649,3.13914010317452,3.13868458527342,3.13810576332353,3.13736014757795
0.000613590727341318,3.14113992640983,3.14110209654692,3.14105958386081,3.14101149233355,3.14095671689024,3.14089390275908,3.14082139850862,3.14073720197255,3.14063889553532,3.14052356030612,3.14038764640326,3.14022676075857,3.1400353202815,3.13980601222796,3.13952900194532,3.13919081817014,3.13877281684312,3.13824908214576,3.13758357793817,3.1367263017442
0.000705480231071865,3.14107212734795,3.14102863219858,3.14097975294056,3.14092445937101,3.14086148092239,3.14078925993643,3.14070589766843,3.14060909211389,3.14049606360278,3.14036345612053,3.14020718816683,3.1400222087824,3.13980209877262,3.13953845026608,3.139219955803,3.13883112673454,3.13835052694819,3.13774835960155,3.13698319206264,3.13599753391339
