bval E=0.010000,doca E=0.010000,bval E=0.014384,doca E=0.014384,bval E=0.020691,doca E=0.020691,bval E=0.029764,doca E=0.029764,bval E=0.042813,doca E=0.042813,bval E=0.061585,doca E=0.061585,bval E=0.088587,doca E=0.088587,bval E=0.127427,doca E=0.127427,bval E=0.183298,doca E=0.183298,bval E=0.263665,doca E=0.263665,bval E=0.379269,doca E=0.379269,bval E=0.545559,doca E=0.545559,bval E=0.784760,doca E=0.784760,bval E=1.128838,doca E=1.128838,bval E=1.623777,doca E=1.623777,bval E=2.335721,doca E=2.335721,bval E=3.359818,doca E=3.359818,bval E=4.832930,doca E=4.832930,bval E=6.951928,doca E=6.951928,bval E=10.000000,doca E=10.000000
47995.2178796752,48720.6001156078,33365.9297209227,33870.2102258182,23195.7539797522,23546.3261540083,16125.5210686307,16369.2363187139,11210.3460815216,11379.775167698,7793.35183853113,7911.13771870393,5417.88205622399,5499.76595161155,3766.47257602659,3823.39767022298,2618.42460185402,2657.99851726108,1820.30992054301,1847.82142145054,1265.46634357205,1284.592140815,879.743085856447,893.039202320896,611.59105577442,620.834420157642,425.173696181005,431.599616512666,295.577690709221,300.044944232603,205.48348129185,208.589083760004,142.850635927581,145.009628391232,99.3087330262375,100.80964903397,69.0387157973609,70.0821417936039,47.9952178796752,48.7206001156078
46446.7489143062,47172.3111562721,32289.4452510936,32793.8508948867,22447.38973113,22798.0489010463,15605.2636340717,15849.0393629111,10848.6668608583,11018.1379914304,7541.91504979894,7659.73015893272,5243.08501200335,5324.98922715403,3644.95493009127,3701.8941504406,2533.94640979134,2573.53014559815,1761.58128998693,1789.09961796563,1224.63862268009,1243.76916605373,851.359948408006,864.659364348324,591.859303087346,601.104961242424,411.456323856994,417.883838802324,286.041472287084,290.509834374401,198.853970942004,201.96034407582,138.241848090183,140.401376315052,96.104736922568,97.6060253876386,66.8113207871089,67.8550057130104,46.4467489143062,47.1723111562721
44995.0517587365,45720.7940074332,31280.2358463101,31784.7666294858,21745.7946230899,22096.5407890034,15117.5197691288,15361.3559769588,10509.5908395702,10679.1040147009,7306.19184244289,7424.03618065092,5079.21193635756,5161.13647135009,3531.03154841485,3587.98489497186,2454.7476955337,2494.34125177834,1706.5229143685,1734.04806944482,1186.36243658092,1205.49772610364,824.750619566711,838.053334995684,573.360689365758,582.608641301579,398.596220858475,405.025330423654,277.101221324411,281.570691979961,192.638772876735,195.7459166792,133.921087168391,136.081151156553,93.1009750557328,94.602635979585,64.7231271758522,65.7670710324156,44.9950517587365,45.7207940074332
43631.3289756659,44357.2512318135,30332.1855915362,30836.841514595,21086.7169155568,21437.5500778156,14659.3336947306,14903.2303817931,10191.0631813397,10360.6184011971,7084.75370905772,7202.62727645691,4925.26974122918,5007.21459614485,3424.01204333384,3480.97951615503,2380.3485065509,2419.95188327263,1654.8011341462,1682.33311634745,1150.40582756489,1169.54586325569,799.753844003799,813.059858934625,555.983111066754,565.233356792495,386.515453609996,392.946157801403,268.702758960971,273.173338189186,186.800222342703,189.908136816899,129.862168897014,132.022768650611,90.2792443131975,91.7812776973213,62.7614802908889,63.80568307915,43.6313289756659,44.3572512318135
42347.8181204162,43073.9203847573,29439.8980911509,29944.679154609,20466.4050731696,20817.3252321326,14228.0973705194,14472.0545370639,9891.27079529799,10060.8680600556,6876.34020193265,6994.24299864358,4780.38217244973,4862.34734737236,3323.28724926269,3380.26884840633,2310.32535531616,2349.9385525555,1606.12154384216,1633.66035319651,1116.56412706465,1135.7089089431,776.227337605632,789.536652051922,539.627653299523,548.880192824645,375.14525719203,381.577556016244,260.798280320078,265.269968125532,181.305085734014,184.413770883121,126.041989512642,128.203125033885,87.6234831250762,89.125888971008,60.915214244539,61.9596759655658,42.3478181204162,43.0739203847573
41137.6438848426,41863.9261581421,28598.5936804604,29103.4998848497,19881.5363074652,20232.543463502,13821.5008178924,14065.518464176,9608.60780096107,9778.24711079761,6679.83492452365,6797.76695067054,4643.77311918412,4725.75861420007,3228.3176195398,3285.31334506594,2244.30315287716,2283.92617067584,1560.22338431879,1587.76902085525,1084.6560572062,1103.80558529247,754.045077300103,767.357691275879,524.206705732184,533.461539066436,364.424725532984,370.85861899678,253.345443939515,257.81824032692,176.123927571157,179.23338339845,122.440085681967,124.601756973133,85.1194655294667,86.6222438387895,59.1744392505694,60.2191599054625,41.1376438848426,41.8639261581421
39994.6948839259,40721.1571669715,27804.0237686248,28309.0551144929,19329.1570286976,19680.251182189,13437.4907225355,13681.5688488227,9341.64674900946,9511.32810410885,6494.2455243469,6612.20678005765,4514.75270513433,4596.7585203325,3138.62355713254,3195.63340910298,2181.94848683173,2221.58132523273,1516.87486967595,1544.42733342439,1054.5204821015,1073.67475641636,733.095042578649,746.410956098348,509.642392514159,518.899519667577,354.29971990254,360.735208012896,246.306612963973,250.780517938179,171.230582983449,174.3408094923,119.038267775378,121.200474838811,82.754546226898,84.2576970012413,57.5303643878824,58.5753439777746,39.9946948839259,40.7211571669715
38913.5204229183,39640.1627165201,27052.3990719212,27557.5555598311,18806.6329541201,19157.8141054574,13074.2357500598,13318.3743566229,9089.11450896872,9258.83790952017,6318.686930268,6436.67741567413,4392.70563522362,4474.73177069546,3053.77731333603,3110.80129181434,2122.96398936168,2162.60664840918,1475.86927194861,1503.42856293976,1026.0136859585,1045.1727065233,713.277323257933,726.596536336404,495.865256805728,505.124677788635,344.721954406078,351.15903717017,239.648219387355,244.123232953351,166.601715734869,169.712712928746,115.820312609703,117.983055447815,80.5174469772984,82.0209702183384,55.9751491052265,57.0203876312831,38.9135204229183,39.6401627165201
37889.2435644124,38616.0658694029,26340.3291785965,26845.610809127,18311.6070939059,18662.8752434916,12730.0973381173,12974.2964252359,8849.87196409827,9019.63741029626,6152.36723653488,6270.38695177158,4277.0813822779,4359.12783811738,2973.39616562475,3030.43427067627,2067.08359452431,2106.73607426374,1437.02162401012,1464.58774227555,999.007080963213,1018.17084779992,694.502526015999,707.825038668502,482.813153013441,492.074867836446,335.648225874719,342.086903299922,233.340228677883,237.816350840796,162.216446035289,165.328213917757,112.771704705259,114.934983320527,78.3980767237591,79.9019724332186,54.501778172533,55.5472756359516,37.8892435644124,38.6160658694029
36917.487569708,37644.4898869423,25664.7714114356,26170.1781851813,17841.9642007739,18193.3193490212,12403.6049820359,12647.8645499974,8622.89683014347,8792.7043221877,5994.57575849806,6112.62470370419,4167.38588344849,4249.45265975215,2897.13664506545,2954.18887675727,2014.06852519153,2053.73082566953,1400.16592972111,1427.73887529325,973.385267795374,992.553780926522,676.69042607671,690.016238318919,470.430309450853,479.694318124851,327.039762233813,333.480034327703,227.355686768569,231.832917533665,158.056035611511,161.168574186231,109.879417349507,112.043231744476,76.3873793895647,77.8916475692129,53.1039558705077,54.1497122725182,36.917487569708,37.6444898869423
35994.3133739739,36721.4957043295,25022.9873609442,25528.5192785151,17395.8005521706,17747.2426995037,12093.4352276106,12337.7552767098,8407.26905127485,8577.11858937031,5844.67287997283,5962.75105529088,4063.17448217147,4145.26157903837,2824.68962961809,2881.75598801909,1963.70388194796,2003.37600321242,1365.15279255613,1392.73256546827,949.044387066703,968.217646515434,659.76882114152,673.097932989521,458.666531600147,467.932834136322,318.861668616169,325.30353538652,221.670334999117,226.148674371801,154.103620017653,157.216929288381,107.131726501157,109.296076678439,74.4772045056687,75.9818451573214,51.7760160517838,52.8220313936487,35.9943133739739,36.7214957043295
35116.1662113854,35843.5285557625,24412.505779529,24918.1628415508,16971.3981545716,17322.9273014255,11798.3937381193,12042.7742686586,8202.158333207,8372.04991756393,5702.08138635325,5820.18879192939,3964.04590301094,4046.15332054269,2755.77615549038,2812.85664067119,1915.7957311748,1955.47767327483,1331.84739126045,1359.43399154672,925.890712012139,945.068717802185,643.672553038551,657.004964508842,447.47652196962,456.745118379441,311.082454531869,317.525915986655,216.262281407789,220.741729393604,150.34398011962,153.45806009021,104.518051927822,106.682937890097,72.660196770734,74.1652098962536,50.5128453638583,51.5591196468722,35.1161662113854,35.8435285557625
34279.829865243,35007.3722245642,23831.0907765093,24336.8729836235,16567.2026328828,16918.8187797033,11517.399923194,11761.8409354834,8006.81345730049,8176.74708813439,5566.27903585285,5684.41567183687,3869.63708723908,3951.76482553982,2690.14382687012,2747.23843890316,1870.16860912165,1909.86037210756,1300.12774469878,1327.72117239417,903.839442225168,923.022194380854,628.342669136081,641.678380245574,436.819297114384,446.090187409609,303.673628585265,310.118684732658,211.111718981576,215.592275586204,146.763346224654,149.878196899056,102.028821038292,104.194242788306,70.9297013883104,72.435086989606,49.3098174401789,50.356350665669,34.279829865243,35.0073722245642
