theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.028,3373868992726.63,1630567347592.81,788041824020.905,380855116056.987,184064620690.657,88957147118.7115,42992368624.7097,20777911835.4183,10041819840.3771,4853141475.68483,2345489418.99039,1133558673.72888,547840999.145958,264767733.070186,127960398.3353,61842367.8454357,29887984.9585084,14444654.6275953,6981000.81354306,3373868.99272663
0.029,2932057443586.82,1417042908034.01,684846951959.124,330981754291.695,159961172873.186,77308118937.6223,37362474570.0737,18057023313.7577,8726833399.16548,4217617702.18048,2038345212.76035,985118021.539748,476100667.486144,230096131.249797,111203855.049552,53744047.3714731,25974123.1684825,12553112.5281346,6066831.71254157,2932057.44358682
0.03,2560257917786.97,1237354790941.54,598004938498.301,289011615008.368,139677297347.24,67505063399.1454,32624726215.8433,15767302585.3674,7620227344.55326,3682802715.82828,1779872860.80207,860200136.978351,415728725.322624,200918792.76546,97102650.9053522,46929033.7805954,22680474.6425195,10961315.1724992,5297527.15516869,2560257.91778697
0.031,2245568858277.79,1085267763796.58,524502339259.962,253488321561.109,122509137439.749,59207811483.3904,28614722247.7733,13829295641.9595,6683602108.61749,3230138273.33194,1561103293.59539,754470331.315111,364630247.831805,176223255.064424,85167469.8140398,41160844.0206921,19892748.7712738,9614026.70650002,4646392.03842803,2245568.85827779
0.032,1977779172186.91,955846876647.955,461954127359.626,223259207094.937,107899617300.867,52147132318.3681,25202345263.6244,12180117650.7496,5886565890.36692,2844936229.28993,1374937832.93436,664497862.89448,321147181.504904,155208192.452714,75011036.6578785,36252310.7290476,17520488.8740513,8467530.04739627,4092298.20120763,1977779.17218692
0.033,1748745692588.23,845156593728.174,408458285815.719,197405040071.398,95404478740.7525,46108319020.1359,22283828924.2128,10769619063.8988,5204881763.18153,2515483046.14707,1215715407.83387,587546775.601792,283957257.838124,137234561.786778,66324506.3436464,32054171.2266553,15491557.3393659,7486961.59079897,3618396.30671976,1748745.69258823
0.034,1551928107395.78,750036027832.248,362487179892.872,175187525279.886,84666908834.5714,40918926391.2998,19775831668.6405,9557521486.42773,4619083459.75559,2232370812.71394,1078889240.44702,521419643.422611,251998476.168244,121789105.554751,58859825.0964162,28446542.8545515,13748015.7144589,6644320.08667681,3211153.54616501,1551928.10739578
0.035,1382038317204.71,667929477408.344,322805656860.021,156009722022.082,75398410307.1692,36439525711.3758,17610968568.9721,8511258252.75219,4113431737.80195,1987992862.99238,960783082.162069,464339761.048923,224412167.214453,108456834.883415,52416431.6887839,25332495.7706755,12243018.4828588,5916965.42372014,2859628.11168806,1382038.31720471
0.036,1234773776754.67,596757552347.307,288408761983.537,139385942685.928,67364253723.865,32556673882.0887,15734413367.2066,7604332214.85602,3675120710.5323,1776160201.23329,858405834.508804,414861551.456402,200499693.685444,96900103.2436753,46831143.9087083,22633165.1503302,10938450.8249619,5286476.97550887,2554917.44304501,1234773.77675467
0.037,1106613052741.26,534818368499.142,258473986526.312,124918674536.72,60372323953.0817,29177523000.5698,14101293319.6077,6815056688.73018,3293669354.85448,1591807422.09333,769309422.421781,371801877.04404,179689253.432388,86842562.6459769,41970404.7006803,20284003.8003012,9803117.53257802,4737778.31554692,2289735.20848563,1106613.05274126
0.038,994657878884.736,480711213989.568,232324376211.072,112280750294.781,54264503330.9172,26225655902.9067,12674676543.9536,6125582753.33893,2960451411.74854,1430765514.76619,691478992.061921,334186973.007317,161510232.718383,78056768.7543432,37724291.8038068,18231887.0587323,8811343.82723722,4258461.00251073,2058084.49488127,994657.878884736
0.039,896510249480.696,433277149390.476,209399823697.14,101201473989.75,48909966383.3097,23637845550.1425,11424005853.3973,5521142333.45043,2668329573.47912,1289585068.21425,623247467.138327,301211153.004608,145573248.955103,70354535.6802252,34001856.2909636,16432859.9436169,7941886.57277207,3838258.37688571,1855003.49731023,896510.249480696
0.04,810176123803.086,391552468729.679,189234576611.108,91455750748.7149,44199926328.4746,21361516049.5528,10323871685.762,4989455164.92538,2411368874.05659,1165397754.77788,563228604.902965,272204455.586412,131554514.447753,63579379.0895171,30727470.3751344,14850372.0730805,7177081.22460322,3468633.28750705,1676366.27017094,810176.123803086
0.041,733989490822.945,354732000499.209,171439501180.168,82855514933.9292,40043492355.662,19352740506.3696,9353044479.2466,4520261148.64574,2184610679.15311,1055807101.07858,510264206.490147,246607131.320705,119183506.200727,57600557.1056498,27837947.4194474,13453885.7863218,6502169.14430053,3142452.98737983,1518725.60659981,733989.490822945
0.042,666552121423.168,322139990321.018,155688010027.566,75242929144.5286,36364382750.1304,17574652500.0102,8493706949.96902,4104949315.60723,1983893367.52026,958801824.599061,463382233.090257,223949400.631881,108233183.022384,52308342.3045749,25280256.9253342,12217771.8133311,5904763.88446174,2853731.19288415,1379188.37748453,666552.121423168
0.043,606685488364.904,293206864202.142,141704832015.933,68484956760.1535,33098301841.3425,15996178381.4399,7730841420.12488,3736261726.89245,1805709227.91168,872686672.964243,421763381.056747,203835299.783141,98512178.4010282,47610248.5861904,23009701.0058118,11120427.9771483,5374425.26366191,2597422.23716956,1255316.04723555,606685.488364904
0.044,553392183780.772,267450581878.335,129257000448.342,62469006601.3873,30190835097.7383,14591019987.1593,7051738170.7547,3408055863.9931,1647089623.9834,796026924.938717,384714259.625361,185929717.855315,89858535.5672068,43428003.3736529,20988451.0705323,10143571.9839559,4902317.57683899,2369255.8856187,1145044.84125207,553392.183780772
0.045,505824794638.56,244461594542.804,118146583243.538,57099419474.1633,27595751098.1576,13336833993.8386,6445598829.56341,3115112948.90997,1505512356.73534,727603619.340966,351645753.360721,169947939.468237,82134653.5639005,39695105.084359,19184367.3685482,9271670.91633258,4480933.873363,2165604.08136165,1046621.34495871,505824.79463856
0.046,463260668224.45,223890649180.29,108204788855.688,52294619601.8929,25273624838.8595,12214566572.2042,5903214813.78535,2852982537.83279,1378826557.72093,666377256.455528,322055479.30204,155647166.441655,75223189.7243886,36354842.8260817,17570041.9212694,8491478.68942762,4103872.41283224,1983372.90792173,958550.290105894,463260.66822445
0.047,425081354799.03,205438853346.128,99287164651.4008,47984794034.5808,23190716208.1363,11207911361.6438,5416705373.09202,2617855919.10505,1265191503.16669,611458227.323832,295513495.645683,142819610.901206,69023721.6185493,33358683.1389045,16122018.8460945,7791659.23881141,3765654.55438986,1819914.57639262,879552.018786539,425081.35479903
0.048,390755783728.076,188849544307.622,91269667322.4803,44109993506.7199,21318052144.1831,10302865883.5072,4979303207.23511,2406462503.72638,1163026540.22483,562082613.451409,271650605.912475,131286842.764074,63450015.2321109,30664949.7253106,14820156.2791736,7162478.14219774,3461575.71965367,1672955.396862,808527.672527617,390755.783728076
0.049,359826434675.617,173901605678.125,84045432861.7993,40618571389.1642,19630672191.4277,9487366923.74406,4585178249.01882,2215984660.89245,1070969927.58383,517592294.762089,250148745.260745,120895143.511143,58427779.4771478,28237738.2207709,13647101.8916037,6595549.14008014,3187582.88790792,1540536.57269241,744530.578579083,359826.434675617
0.05,331897922965.33,160403950801.83,77522110421.654,37465895161.4711,18107005764.1033,8750989568.73276,4229292210.41546,2043987421.14728,987844861.492301,477418530.212386,230733045.111792,111511671.075852,53892812.7096153,26046020.4185984,12587859.9675501,6083624.907608,2940173.4776107,1420965.33065914,686742.631450467,331897.92296533
0.051,306627539778.783,148190950897.574,71619652767.5589,34613278553.6345,16728356057.7967,8084697783.33206,3907278038.67796,1888360218.3634,912631320.064445,441068350.340711,213165256.763858,103021281.522696,49789466.6687453,24062901.9025739,11629432.6232735,5620423.65824515,2716311.5451517,1312774.42039452,634454.71927482,306627.539778783
0.052,283717382190.176,137118631559.532,66268478073.5642,32027093154.5858,15478470696.0352,7480636907.37152,3615339631.34118,1747268422.70156,844442639.497595,408113236.716727,197238280.248966,95323884.8819118,46069368.5703925,22265004.4435757,10760521.3237291,5200484.88882467,2513358.06744362,1214688.42045065,587050.439763893,283717.382190176
0.053,262907781623.838,127061496776.566,61407934992.9655,29678026591.5752,14343183213.556,6931960387.01696,3350168096.69959,1619112869.88378,782505954.852202,378179669.106767,182771595.843915,88332237.2306073,42690354.0352496,20631950.2912291,9971277.64431905,4819048.92444241,2329012.72680944,1125595.60334158,543992.502779294,262907.781623838
0.054,243971797015.639,117909867515.557,56985016414.1926,27540460897.3659,13310112625.5083,6432684578.66145,3108871581.54072,1502495947.42645,726145809.764881,350941204.162486,169607435.755766,81970090.4950659,39615572.9012067,19145930.0192586,9253094.41356533,4471955.97916793,2161265.12772825,1044524.35893685,504811.335923067,243971.797015639
0.055,226710584414.642,109567643882.18,52953277928.7248,25591949813.3228,12368410811.6819,5977566661.48551,2888916267.13717,1396193078.41491,674770374.755599,326111814.824873,157607565.102264,76170636.7210397,36812737.3500377,17791339.1503597,8598430.09644588,4155561.28173588,2008353.77767393,970623.370187016,469095.503604125,226710.584414642
0.056,210949490740.592,101950417261.152,49271925441.6428,23812777837.9569,11508549407.7453,5562001643.47893,2688076592.97551,1299128664.97883,627859820.877153,303440271.390144,146650566.320184,70875195.6472491,34253487.620828,16554471.6099243,8000660.64271805,3866663.47487431,1868731.4830101,903144.889201053,436483.62448313,210949.490740592
0.057,196534748019.663,94983872663.4307,45905043037.1743,22185587059.7298,10722139456.1434,5181935199.97788,2504393132.22925,1210355729.80221,584956480.598971,282705386.333528,136629541.021842,66032104.0286638,31912855.2276645,15423260.3028942,7453954.10952208,3602444.02128355,1741036.06432233,841430.584170735,406657.531389784,196534.748019663
0.058,183330667264.142,88602432547.841,42820937547.1475,20695060391.5602,10001778315.544,4833789686.06837,2336136834.06961,1129038634.68163,545656495.806862,263711977.845808,127450159.200457,61595772.8310673,29768807.3083462,14387056.9006722,6953164.2339311,3360415.76799213,1624065.49793025,784899.525436818,379336.465072422,183330.667264142
0.059,171217249478.597,82748102237.0196,39991580548.5719,19327651892.1471,9340919327.01463,4514401147.15883,2181778581.31469,1054438367.9504,509602707.317772,246287433.385409,119028998.418857,57525884.5725403,27801858.7051219,13436444.3624483,6493739.82581631,3138379.15656054,1516756.75258447,733037.95741234,354272.131039897,171217.249478597
0.06,160088146021.336,77369484174.3404,37392131960.8868,18071356523.8435,8733760539.60943,4220965540.83232,2039963199.82579,985899983.401164,476478584.198688,230278775.76057,111292125.867454,53786708.0419752,25994740.7729293,12563076.8725324,6071647.41067632,2934384.83690035,1418167.72098621,685390.566212066,331244.479267811,160088.146021336
0.061,149848912467.589,72420934028.1702,35000532197.0354,16915513042.1157,8175149448.21957,3950992697.31435,1909487207.92267,922841846.733542,446003026.649794,215550151.399031,104173884.46251,50346511.6288343,24332117.8457598,11759542.8105264,5683305.0040772,2746701.66092309,1327461.75134105,641553.003860355,310058.091200325,149848.912467589
0.062,140415509788.3,67861836322.034,32797152080.5765,15850634802.9255,7660501223.96164,3702266800.79001,1789279717.27984,864746405.090484,417925904.985802,201980674.368835,97615850.8764256,47177059.7464588,22800343.8615567,11019247.1298351,5325525.26600751,2573789.20943656,1243894.36979957,601165.471339347,290539.078482117,140415.5097883
0.063,131713014528.854,63655981072.994,30764491579.3624,14868264162.8187,7185728346.75591,3472812381.31988,1678385997.05673,811152243.717084,392024220.674562,189462571.035062,91565938.8632899,44253179.4755606,21387252.924038,10336310.1376565,4995466.5819536,2414274.14996983,1166801.85435913,563907.196435382,272532.414140078,131713.014528854
0.064,123674506101.82,59771026027.9912,28886919908.1138,13960846872.3124,6747179900.52682,3260864976.63396,1575953294.94739,761647233.372801,368098794.529193,177899579.486195,85977625.7128029,41552386.7148009,20081978.6238789,9705480.17416956,4690590.86136027,2266929.84106364,1095591.37775971,529491.669869341,255899.630238339,123674.50610182
0.065,116240104578.174,56178031635.0601,27150450783.2523,13121623458.1234,6341589078.99171,3064845762.04554,1481218575.99484,715862604.585964,345971402.836624,167205565.445021,80809283.3296731,39054562.8961289,18874797.7974904,9122058.10224187,4408627.04403332,2130658.69516939,1029732.483596,497662.525761068,240516.826935466,116240.104578174
0.066,109356136695.723,52851057981.0144,25542547625.6953,12344535079.0382,5966027686.45936,2883339561.00457,1393497895.24492,673467811.531526,325482295.105546,157303322.613533,76023598.4486749,36741674.7787638,17756995.1054057,8581831.85910856,4147539.46942242,2004476.89174415,968749.698262861,468189.971034184,226272.946840714,109356.136695723
