bvals,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.0001,3.38761602327607,3.14375366714865,2.91043128573592,2.68718836494374,2.47358967016887,2.26927939645545,2.07402174152384,1.8877250356835,1.71044554932073,1.54236642767389,1.38374933477483,1.23486323987024,1.09590514927359,0.966935600639041,0.847850087555682,0.73839477677947,0.638218157873391,0.546939206468138,0.464210340148507,0.389756387858956
0.000114975699539774,3.38761602346842,3.14375366736236,2.91043128597449,2.68718836521151,2.4735896704712,2.26927939679894,2.07402174191657,1.88772503613529,1.7104455498435,1.5423664282821,1.38374933548607,1.23486324070614,1.09590515026129,0.966935601755488,0.84785008883675,0.738394778422782,0.638218159986483,0.546939209140207,0.464210343376732,0.389756391952884
0.000132194114846603,3.38761602372269,3.14375366764486,2.91043128628985,2.68718836556548,2.47358967087087,2.26927939725302,2.07402174243573,1.88772503673252,1.71044555053458,1.54236642908613,1.38374933642628,1.23486324181115,1.09590515156697,0.966935603340945,0.847850090818353,0.738394780745395,0.638218162722995,0.546939212521858,0.464210347607175,0.389756397371362
0.000151991108295293,3.38761602405883,3.14375366801832,2.91043128670675,2.68718836603341,2.4735896713992,2.26927939785328,2.07402174312202,1.88772503752203,1.71044555144814,1.542366430149,1.38374933766919,1.2348632432719,1.09590515329299,0.966935605368255,0.847850093194973,0.738394783635528,0.638218166292571,0.546939216941161,0.464210353192156,0.3897564045802
0.000174752840000768,3.38761602450318,3.14375366851201,2.91043128725787,2.68718836665199,2.47358967209763,2.26927939864679,2.07402174402926,1.88772503856571,1.71044555265581,1.54236643155405,1.38374933931224,1.23486324520293,1.0959051555747,0.966935608166115,0.84785009648374,0.738394787631728,0.638218171185058,0.546939222888789,0.464210360718381,0.389756414025445
0.000200923300256505,3.38761602509059,3.14375366916463,2.91043128798641,2.68718836746971,2.47358967302091,2.26927939969577,2.07402174522858,1.88772503994539,1.71044555425229,1.54236643341145,1.38374934148426,1.23486324775564,1.09590515859098,0.966935611614373,0.847850100692331,0.738394792789921,0.638218177551107,0.546939230763093,0.464210370602657,0.389756426592164
0.000231012970008316,3.38761602586711,3.14375367002736,2.9104312889495,2.68718836855069,2.47358967424143,2.26927940108246,2.07402174681402,1.88772504176925,1.71044555636273,1.54236643586683,1.38374934435554,1.23486325113017,1.09590516257833,0.966935616456859,0.847850106462869,0.738394799685038,0.638218185869688,0.546939241135626,0.464210383537757,0.389756443173264
0.000265608778294669,3.38761602689362,3.14375367116784,2.91043129022264,2.68718836997968,2.47358967585489,2.26927940291557,2.07402174890986,1.88772504418029,1.71044555915261,1.54236643911268,1.3837493481512,1.2348632555911,1.09590516784937,0.966935622527108,0.847850114034169,0.738394808687659,0.638218196975707,0.546939254914812,0.464210400813094,0.38975646504573
0.000305385550883342,3.38761602825061,3.14375367267549,2.91043129190567,2.68718837186872,2.47358967798778,2.26927940533885,2.07402175168045,1.88772504736755,1.71044556284068,1.54236644340352,1.38374935316884,1.23486326148819,1.09590517481738,0.966935630898684,0.847850123842172,0.738394820781158,0.638218211658934,0.54693927303549,0.464210423564851,0.389756494031526
0.000351119173421513,3.38761603004447,3.14375367466851,2.91043129413052,2.68718837436592,2.47358968080735,2.26927940854227,2.074021755343,1.88772505158091,1.71044556771608,1.54236644907574,1.38374935980187,1.23486326928379,1.09590518402867,0.966935641760845,0.847850136975224,0.738394836584866,0.638218231009023,0.546939297054277,0.464210453644202,0.38975653225332
0.000403701725859655,3.38761603241584,3.14375367730316,2.91043129707166,2.68718837766707,2.47358968453464,2.26927941277701,2.07402176018468,1.88772505715072,1.71044557416107,1.5423664565741,1.38374936857034,1.23486327958912,1.09590519620545,0.966935656366662,0.847850154287412,0.738394857552779,0.638218256671293,0.54693932882307,0.464210493489084,0.389756582829815
0.000464158883361278,3.38761603555066,3.14375368078602,2.91043130095966,2.68718838203101,2.47358968946191,2.26927941837508,2.07402176658509,1.88772506451368,1.71044558268097,1.54236646648648,1.38374938016175,1.23486329321215,1.09590521230244,0.966935675480604,0.847850177272379,0.738394885257519,0.638218290625636,0.546939370713953,0.464210546159641,0.389756649673455
0.000533669923120631,3.38761603969471,3.14375368539016,2.91043130609937,2.68718838779987,2.47358969597546,2.26927942577541,2.07402177504606,1.88772507424709,1.71044559394378,1.54236647959006,1.3837493954849,1.234863311221,1.09590523358172,0.966935700793755,0.84785020763045,0.738394921972921,0.638218335330254,0.546939426229947,0.4642106156367,0.38975673817048
0.000613590727341318,3.3876160451729,3.14375369147655,2.91043131289377,2.68718839542596,2.473589704586,2.2692794355582,2.07402178623097,1.88772508711408,1.71044560883255,1.54236649691222,1.38374941574121,1.23486333502765,1.09590526171167,0.966935734187506,0.847850247663516,0.738394970392148,0.638218394577222,0.546939499543457,0.464210707580615,0.389756854941766
0.000705480231071865,3.38761605241474,3.14375369952241,2.91043132187557,2.68718840550721,2.47358971596862,2.26927944849048,2.07402180101675,1.88772510412349,1.71044562851462,1.54236651981111,1.38374944251886,1.23486336649862,1.09590529889781,0.966935778460674,0.847850300612799,0.738395034483597,0.638218472938944,0.546939596398735,0.464210829103248,0.389757009460851
